"","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis"
"590",590,79,"",6,"hi",13,25,0.893117,10,50,1.015357,"dist",0.519230769230769,0.205882352941176,0.869015161888303,5.41,2,46
"592",592,80,"LMM",0,"hi",16,25,0.872474,4,50,0.9507205,"nodist",0.634615384615385,0.0882352941176471,1.69580470281368,1.17,1,41
"597",597,80,"LMM",6,"hi",13,25,0.949086,4,50,0.9507205,"dist",0.519230769230769,0.0882352941176471,1.39992531348658,1.17,1,41
"598",598,81,"LMM",0,"hi",7,25,0.834435,12,50,1.0224715,"nodist",0.288461538461538,0.245098039215686,0.132112230019184,2.88,3,58
"604",604,81,"LMM",6,"hi",8,25,0.920182,12,50,1.0224715,"dist",0.326923076923077,0.245098039215686,0.241571509552848,2.88,3,58
"606",606,82,"",0,"hi",16,25,0.9554195,4,50,1.175182,"nodist",0.634615384615385,0.0882352941176471,1.69580470281368,5.59,3,67
"612",612,82,"",6,"hi",20,25,0.991355,4,50,1.175182,"dist",0.788461538461538,0.0882352941176471,2.15279676921261,5.59,3,67
"614",614,83,"",0,"hi",8,25,1.003209,7,50,0.979916,"nodist",0.326923076923077,0.147058823529412,0.600705914658036,5.4,5,65
"620",620,83,"",6,"hi",11,25,1.425766,7,50,0.979916,"dist",0.442307692307692,0.147058823529412,0.904010456753197,5.4,5,65
"622",622,84,"",0,"hi",10,25,0.8129215,3,50,0.876379,"nodist",0.403846153846154,0.0686274509803922,1.24268739151983,4.13,3,62
"628",628,84,"",6,"hi",12,25,0.8307725,3,50,0.876379,"dist",0.480769230769231,0.0686274509803922,1.43786849577453,4.13,3,62
"630",630,85,"HMM",0,"hi",7,25,0.919966,0,50,NA,"nodist",0.288461538461538,0.00980392156862745,1.77588381196754,7.36,5,67
"636",636,85,"HMM",6,"hi",11,25,0.965276,0,50,NA,"dist",0.442307692307692,0.00980392156862745,2.18864763359636,7.36,5,67
"638",638,86,"",0,"hi",16,25,0.813786,9,50,0.886115,"nodist",0.634615384615385,0.186274509803922,1.23581129255642,5.24,2,65
"644",644,86,"",6,"hi",17,25,0.762979,9,50,0.886115,"dist",0.673076923076923,0.186274509803922,1.34013431297934,5.24,2,65
"645",645,87,"",0,"hi",14,25,0.90365,1,50,0.799443,"nodist",0.557692307692308,0.0294117647058824,2.0346309015442,3.45,3,67
"651",651,87,"",6,"hi",17,25,1.025201,1,50,0.799443,"dist",0.673076923076923,0.0294117647058824,2.33793544363936,3.45,3,67
"653",653,88,"LMM",0,"hi",11,25,0.911524,2,50,1.4729665,"nodist",0.442307692307692,0.0490196078431373,1.50931378447948,2.6,1,50
"659",659,88,"LMM",6,"hi",10,25,1.038417,2,50,1.4729665,"dist",0.403846153846154,0.0490196078431373,1.41103054787962,2.6,1,50
"661",661,89,"",0,"hi",4,25,1.137408,NA,NA,NA,"nodist",0.173076923076923,NA,NA,4.13,5,60
"667",667,89,"",6,"hi",7,25,1.234275,NA,NA,NA,"dist",0.288461538461538,NA,NA,4.13,5,60
"669",669,90,"HMM",0,"hi",8,25,1.0082755,4,50,1.1777015,"nodist",0.326923076923077,0.0882352941176471,0.903276756624727,6.47,0,43
"675",675,90,"HMM",6,"hi",10,25,1.0511345,4,50,1.1777015,"dist",0.403846153846154,0.0882352941176471,1.10829806212003,6.47,0,43
"677",677,91,"LMM",0,"hi",12,25,0.81642,18,50,0.871361,"nodist",0.480769230769231,0.362745098039216,0.302907761233542,2.7,1,60
"683",683,91,"LMM",6,"hi",16,25,0.8442715,18,50,0.871361,"dist",0.634615384615385,0.362745098039216,0.69523329767248,2.7,1,60
"685",685,92,"",0,"hi",13,25,0.881733,0,50,NA,"nodist",0.519230769230769,0.00980392156862745,2.38199164836306,3.78,5,93
"691",691,92,"",6,"hi",11,25,0.955414,0,50,NA,"dist",0.442307692307692,0.00980392156862745,2.18864763359636,3.78,5,93
"693",693,93,"",0,"hi",6,25,1.2001265,1,50,1.2968,"nodist",0.25,0.0294117647058824,1.21502021013735,5.46,4,62
"699",699,93,"",6,"hi",10,25,0.993956,1,50,1.2968,"dist",0.403846153846154,0.0294117647058824,1.6461057825228,5.46,4,62
"701",701,94,"",0,"hi",3,25,1.206874,0,50,NA,"nodist",0.134615384615385,0.00980392156862745,1.22893283084503,4.79,2,49
"707",707,94,"",6,"hi",7,25,1.526065,0,50,NA,"dist",0.288461538461538,0.00980392156862745,1.77588381196754,4.79,2,49
"709",709,95,"",0,"hi",8,25,0.880484,12,50,1.1206085,"nodist",0.326923076923077,0.245098039215686,0.241571509552848,4.84,4,77
"715",715,95,"",6,"hi",3,25,0.888122,12,50,1.1206085,"dist",0.134615384615385,0.245098039215686,-0.414838751103327,4.84,4,77
"717",717,96,"LMM",0,"hi",9,25,0.86143,4,50,1.0528515,"nodist",0.365384615384615,0.0882352941176471,1.00759977704765,0.55,4,77
"723",723,96,"LMM",6,"hi",4,25,0.922665,4,50,1.0528515,"dist",0.173076923076923,0.0882352941176471,0.409626464934885,0.55,4,77
"725",725,97,"HMM",0,"hi",9,25,1.086022,6,50,0.9260535,"nodist",0.365384615384615,0.127450980392157,0.794421015577053,7.82,5,71
"731",731,97,"HMM",6,"hi",11,25,1.006429,6,50,0.9260535,"dist",0.442307692307692,0.127450980392157,0.993402537249295,7.82,5,71
"733",733,98,"",0,"hi",21,25,0.745504,5,50,0.664175,"nodist",0.826923076923077,0.107843137254902,2.18015611054288,5.43,4,64
"739",739,98,"",6,"hi",17,25,0.706175,5,50,0.664175,"dist",0.673076923076923,0.107843137254902,1.68650581885304,5.43,4,64
"741",741,99,"LMM",0,"hi",9,25,1.079512,4,50,0.970907,"nodist",0.365384615384615,0.0882352941176471,1.00759977704765,2.66,0,55
